"id","gender","e","n","c","a","o","pa","na","ls","marriage"
1,"female",2.05,4.75,3.2,5,4.65,17,16,1.4,"married"
2,"male",1.3,5,2.75,3.2,1.8,17,25,1.4,"married"
3,"female",2.95,4.35,3.8,3.9,3.15,19,12,3,"divorced"
4,"male",1.5,4.85,3.35,2.85,4.6,10,25,1,"single"
5,"male",1.85,4.1,3.2,4.2,3.25,17,18,1,"married"
6,"male",1.4,3.9,4.45,4.45,2.85,24,32,1,"single"
7,"male",2.4,3.8,2.3,2.65,2.15,14,30,2,"divorced"
8,"female",2.1,3.2,3.35,4.4,3.7,12,16,1,"married"
9,"male",2.2,3.05,4.1,3.45,2.9,26,12,6,"married"
10,"female",2.3,3.55,1.85,3.9,4.4,25,12,2.4,"married"
11,"female",2.5,3.85,2.35,3.05,3.55,29,22,2.2,"single"
12,"male",NA,3.6,4.15,3.1,2.95,21,10,5.2,"married"
13,"female",2.65,3.95,3.05,3.65,3.65,26,13,3.2,"married"
14,"male",2,4.5,2.9,3.35,2.35,21,19,2,"single"
15,"female",3,3.05,2.75,3,3.2,26,26,7,"divorced"
16,"male",3,3.15,2.95,2.7,2.9,38,39,5,"married"
17,"female",3.45,1.85,4.25,4.5,2.95,32,10,5.2,"divorced"
18,"male",3.15,3,3.55,NA,3.25,42,23,5.4,"married"
19,"female",3.45,2.45,3.35,3.15,3.3,41,11,4,"single"
20,"male",3.2,3.1,3,2.9,2.8,38,24,4.2,"married"
21,"male",3.25,3.4,3.1,3.15,3.05,39,27,3.8,"married"
22,"female",2.9,3.85,3.3,3.45,4,29,24,4.2,"single"
23,"male",3,3,3,3,3,36,35,4.2,"single"
24,"female",3.3,2,3.9,3.95,3.65,32,10,4.8,"single"
25,"female",4.1,1.65,4.75,4.95,3.55,32,10,5,"divorced"
26,"male",3,2.65,3.3,3.65,2.8,29,19,4.4,"divorced"
27,"male",4.55,2.05,4.3,4,4.3,50,14,7,"single"
28,"female",4.1,2.25,4.3,3.85,4.2,48,12,5,"divorced"
29,"female",3.6,2.5,3.3,3.8,3.2,28,10,2.4,"married"
30,"female",2.8,3,2.15,3.8,4,34,12,2.6,"married"
31,"male",3.05,2.95,2.75,2.9,3.3,32,35,5,"divorced"
32,"male",3.15,3.05,2.95,2.9,3.1,24,12,4.8,"single"
33,"female",2.95,3.15,3.75,4.25,3.3,32,28,NA,"divorced"
34,"male",3.55,2.2,3.5,3.8,3.3,42,11,4.6,"married"
35,"female",3.15,3.05,3.35,3.9,3.75,23,13,5,"divorced"
36,"female",3.4,2,3.65,3.8,3.95,50,10,6.6,"married"
37,"female",4.15,3.4,4.55,4.2,2.8,21,10,6.2,"divorced"
38,"female",3.05,3.7,2.85,3.1,3.05,21,16,5.4,"single"
39,"male",3.2,2.95,3.25,2.95,3.2,15,11,4.4,"divorced"
40,"male",2.65,2.95,2.95,3.05,2.85,27,26,4,"married"
41,"male",3.3,3.3,3.1,3.3,3.4,35,24,2.6,"divorced"
42,"female",3.7,2.3,3.5,3.1,3.6,23,10,7,"single"
43,"male",1.85,3.65,2.2,2.4,1.9,10,33,2,"divorced"
44,"male",2.95,2.75,3.5,3.25,3.6,40,14,5.6,"single"
45,"male",1.15,2.95,2.4,3.05,3,22,18,2.8,"married"
46,"female",2.45,1.95,4.9,4.95,4.7,30,10,6,"single"
47,"female",2.55,3,3.1,4.55,3.7,23,14,4.8,"married"
48,"female",2.1,4.8,3.15,3.7,4.25,24,38,1.2,"married"
49,"female",3.55,2.65,3.35,3.7,3.65,37,10,4.6,"divorced"
50,"female",3.1,2.1,3.25,4.45,3.8,35,12,4,"divorced"
51,NA,2.2,3.3,3.45,4.25,3.7,23,14,4,"single"
52,"male",2.55,3.6,2.45,2.55,2.95,28,25,3.2,"single"
53,"male",3.6,2.4,3.75,4.25,4.25,32,14,3.4,"divorced"
54,"male",3.6,2.4,3.75,3.6,3.2,45,18,6,"married"
55,"male",2.9,3,3.7,NA,2.35,33,12,3.8,"divorced"
56,"female",3.7,3.8,3.5,3.5,4.05,32,14,5,"single"
57,"male",2.85,2.75,3.4,4.2,4,37,12,5.6,"divorced"
58,"female",2.75,2.2,2.75,4.5,3.25,27,13,5,"married"
59,"male",3.2,1.6,3.75,4.15,3.1,34,15,4.6,"single"
60,"female",3.4,2.75,3.65,3.4,4.05,28,13,4,"married"
61,"male",2.35,3.55,3.4,2.85,3.05,22,13,3,"married"
62,"male",2.9,2.35,3.15,3.25,3.4,31,12,6,"single"
63,"female",1.25,3.7,4.4,3.45,3.6,26,10,6,"single"
64,"male",3.35,3.35,3,3.15,3.15,34,22,6,"single"
65,"male",2.7,2.7,2.9,3.5,3.15,16,14,1.8,"divorced"
66,"female",4.2,2.6,3.9,4.4,3.65,35,15,5,"married"
67,"female",2.7,3.25,2.8,4.05,3.45,28,13,5.8,"single"
68,"female",2.35,2.9,4.35,NA,3.55,22,14,2.8,"single"
69,"male",3.55,2.65,3.05,3.55,4,30,20,2,"married"
70,"male",3.7,2.35,3.7,3.4,4,38,17,4.4,"divorced"
71,"male",3.65,2.65,4.1,4.45,3.6,31,10,5.2,"divorced"
72,"female",3.15,3.5,3.45,3.55,3.05,25,10,5.2,"single"
73,"female",2.95,3.1,3.1,2.85,2.95,27,28,5.4,"married"
74,"female",NA,2.8,4.7,4.5,4.25,46,15,5.6,"married"
75,"female",2.95,3.25,2.6,3.1,3.55,24,16,5.2,"single"
76,NA,2.7,3.25,3.45,4,4.35,29,21,2.4,"divorced"
77,"female",3.6,2.3,3.9,3.1,3.55,26,12,6,"married"
78,"male",3.75,3.35,3.3,4.15,4.15,25,27,4.4,"married"
79,"female",3.4,3.55,3.5,3.6,3.4,37,17,5.2,"divorced"
80,"female",2.3,3.05,2.75,4.3,4.7,28,17,1.2,"married"
81,"male",3.35,2.75,3.15,3.15,3.4,30,12,4.6,"single"
82,"female",2.75,2.35,3.2,4.05,3.75,21,10,2.8,"divorced"
83,"female",2.35,2.85,3.5,4.2,3.7,23,14,4.4,"divorced"
84,"female",2.4,3.25,2.6,3.7,3.5,22,21,2.8,"divorced"
85,"female",NA,3.1,4.1,4.45,3.85,29,12,3,"single"
86,"male",2.55,2.25,2.95,3.4,3.35,19,11,4.4,"divorced"
87,"female",2.45,3.25,2.6,NA,3.6,21,20,2.8,"single"
88,"female",3.8,2.65,3.4,3.95,3.8,23,10,6.6,"single"
89,"male",3.25,2.6,3.5,3.95,4.75,24,18,1.2,"divorced"
